text_file,source,kind,pages,chars,chars_per_page,raster_share,trust,producer
2024-idb-annual-report.txt,2024-idb-annual-report.pdf,DIGITAL,17,100186,5893,0.0,extraction authoritative,Adobe PDF Library 25.1.51
2025-idb-annual-debt-reporting-request.txt,2025-idb-annual-debt-reporting-request.pdf,DIGITAL,13,87296,6715,0.15,extraction authoritative,Adobe PDF Library 25.1.213
comptroller-idb-debt-reporting-guidelines.txt,comptroller-idb-debt-reporting-guidelines.pdf,OCR_SCAN,4,9159,2290,1.0,verify figures against page image,Adobe PDF Library 25.1.40
