text_file,source,kind,pages,chars,chars_per_page,raster_share,trust,producer
2559-2020-s-sumcoact-rpt-cpa811-12-24-20.txt,2559-2020-s-sumcoact-rpt-cpa811-12-24-20.pdf,DIGITAL,167,888041,5318,0.01,extraction authoritative,Adobe PDF Library 11.0
2559-2022-s-sumcoact-rpt-cpa522-12-21-22.txt,2559-2022-s-sumcoact-rpt-cpa522-12-21-22.pdf,DIGITAL,226,1153180,5103,0.01,extraction authoritative,Amyuni PDF Converter version 4.5.3.9
2559-2023-s-sumcoact-rpt-cpa522-12-21-23.txt,2559-2023-s-sumcoact-rpt-cpa522-12-21-23.pdf,DIGITAL,226,1142965,5057,0.01,extraction authoritative,Amyuni PDF Converter version 4.5.3.9
2559-2024-s-sumcoact-rpt-cpa522-12-24-24.txt,2559-2024-s-sumcoact-rpt-cpa522-12-24-24.pdf,DIGITAL,230,1085720,4721,0.01,extraction authoritative,Acrobat Distiller 24.0 (Windows)
2559-2025-s-sumcoact-rpt-cpa522-12-27-25.txt,2559-2025-s-sumcoact-rpt-cpa522-12-27-25.pdf,DIGITAL,212,1011849,4773,0.01,extraction authoritative,Amyuni PDF Converter version 6.5.1.7
2019-sumner-county-annual-financial-report.txt,2019-sumner-county-annual-financial-report.pdf,DIGITAL,243,680633,2801,0.04,extraction authoritative,Adobe PDF Library 20.6.66
