text_file,source,kind,pages,chars,chars_per_page,raster_share,trust,producer
12045-2023-c-westmorelandidb-rpt-cpa517-1-26-24.txt,12045-2023-c-westmorelandidb-rpt-cpa517-1-26-24.pdf,OCR_SCAN,37,59011,1595,0.84,verify figures against page image,Adobe Acrobat 10.0 Paper Capture Plug-in
12045-2024-c-westmorelandidb-rpt-cpa517-12-26-24.txt,12045-2024-c-westmorelandidb-rpt-cpa517-12-26-24.pdf,OCR_SCAN,37,59523,1609,0.78,verify figures against page image,Adobe Acrobat 10.0 Paper Capture Plug-in
12045-2025-c-westmorelandidb-rpt-cpa517-1-27-26.txt,12045-2025-c-westmorelandidb-rpt-cpa517-1-27-26.pdf,OCR_SCAN,36,56158,1560,0.92,verify figures against page image,Adobe Acrobat 10.0 Paper Capture Plug-in
