"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"WHITE HOUSE UTILITY DIST OF ROB AND SUMNER CO","OLD BETHEL ROAD  0","098","","001.00","000","098    00100 000","","","State Assessed","12/13/1978"
"WHITE HOUSE UTILITY DIST OF ROBERTSON & SUMNER CTYS","SHUTE LANE  0","146","","086.00","000","146    08600 000","","","State Assessed","5/5/1999"
"WHITE HOUSE UTILITY DISTRICT","DOUGLAS LOOP  144","081","","095.00","000","081    09500 000","SCRUGGS EST","1","State Assessed","4/12/2005"
"WHITE HOUSE UTILITY DISTRICT","DOUGLAS LOOP  148","081","","096.00","000","081    09600 000","SCRUGGS EST","2","State Assessed","4/12/2005"
"WHITE HOUSE UTILITY DISTRICT","RADER ROAD  0","118","","147.02","000","118    14702 000","","","State Assessed","9/2/1960"
"WHITE HOUSE UTILITY DISTRICT","SPY GLASS WAY  0","137P","A","027.00","000","137P A 02700 000","COUNTRY HILLS SEC 1","54","State Assessed","9/1/2006"
"WHITE HOUSE UTILITY DISTRICT","THOMPSON LANE  167","073","","036.01","000","073    03601 000","WHUD THOMPSON LANE","","State Assessed","8/29/2014"
"WHITE HOUSE UTILITY DISTRICT","SHUTE LANE  697","146M","B","012.02","000","146M B 01202 000","","PUMP S","State Assessed","5/2/2017"
"WHITE HOUSE UTILITY DISTRICT OF ROBERTSO","CLOVERBROOK WAY  0","124B","F","039.01","000","124B F 03901 000","CARELLTON RESUB PH 4","PUMP STA","State Assessed","11/6/2020"
"WHITE HOUSE UTILITY DISTRICT OF ROBERTSON & SUMNER COUNTIES","HUNTERS LANE  0","116","","042.04","000","116    04204 000","","","State Assessed","5/10/2024"
"WHITE HOUSE UTILITY DISTRICT OF ROBERTSON & SUMNER COUNTIES, TN","DRAKES CREEK ROAD  0","138","","035.02","000","138    03502 000","DURHAM PH1 SEC1 REV1","2","State Assessed","2/14/2024"
"WHITE HOUSE UTILITY DISTRICT OF ROBERTSON AND SUMNER COUNTIES","LUXBOROUGH DRIVE  0","123J","E","005.01","000","123J E 00501 000","SOMERSET DOWNS PH4","OS","State Assessed","9/27/2023"
"WHITE HOUSE UTILITY DISTRICT OF SUMNER & ROBERTSON COS TN","BOARDWALK PLACE  0","147B","B","009.01","000","147B B 00901 000","FOXLAND PH 1 SEC 2","","State Assessed","8/28/2017"
"WHITE HOUSE UTILITY DISTRICT OF SUMNER & ROBERTSON COS TN","LITCHFIELD PLACE  1074","147G","C","037.01","000","147G C 03701 000","FOXLAND PH 4","","State Assessed","8/28/2017"
"WHITE HOUSE UTITLIY DISTRICT","JONES LANE  0","138","","028.03","000","138    02803 000","","","State Assessed","7/30/2008"
"WHITEHOUSE UTILITY DIST","TYREE SPRINGS ROAD  0","100","","004.00","000","100    00400 000","","","State Assessed","3/8/1965"
"WHUD","NEALS COURT  0","124","","007.09","000","124    00709 000","","","State Assessed","9/17/2021"
"WILLIAMS COMMUNICATIONS","31W HWY  5716","018","","008.03","000","018    00803 000","DONALD MAZANEC SUB","2","State Assessed","11/12/1999"
