file,effective,rate_class,line,base_rate,fuel_cost,effective_rate
2022-june,"June 1, 2022",GSA3,Summer kWh,4.715,2.763,7.478
2022-june,"June 1, 2022",GSA3,Winter kWh,4.394,TBA,TBA
2022-june,"June 1, 2022",GSA3,Transition Month kWh,4.256,TBA,TBA
2022-june,"June 1, 2022",TD_GSA,Additional HUD,0.149,2.796,2.945
2022-june,"June 1, 2022",TD_GSA,Additional HUD,0.149,TBA,TBA
2022-june,"June 1, 2022",TD_GSA,Additional HUD,0.149,TBA,TBA
2022-june,"June 1, 2022",GSB,Additional HUD,0.223,2.712,2.935
2022-june,"June 1, 2022",GSB,Additional HUD,0.223,TBA,TBA
2022-june,"June 1, 2022",GSB,Additional HUD,0.223,TBA,TBA
2022-june,"June 1, 2022",MSB,Additional HUD,0.055,2.704,2.759
2022-june,"June 1, 2022",MSB,Additional HUD,0.055,TBA,TBA
2022-june,"June 1, 2022",MSB,Additional HUD,0.055,TBA,TBA
2022-june,"June 1, 2022",MSD,Additional HUD,0.223,2.704,2.927
2022-june,"June 1, 2022",MSD,Additional HUD,0.223,TBA,TBA
2022-june,"June 1, 2022",MSD,Additional HUD,0.223,TBA,TBA
2022-june,"June 1, 2022",OUTDOOR,Summer kWh,4.899,2.809,7.708
2022-june,"June 1, 2022",OUTDOOR,Winter kWh,4.567,TBA,TBA
2022-june,"June 1, 2022",OUTDOOR,Transition Month kWh,4.362,TBA,TBA
2023-june,"June 1, 2023",RESIDENTIAL,customer_charge,16.55,,
2023-june,"June 1, 2023",RESIDENTIAL,Summer kWh,7.246,2.526,9.772
2023-june,"June 1, 2023",RESIDENTIAL,Winter kWh,6.914,TBA,TBA
2023-june,"June 1, 2023",RESIDENTIAL,Transition Month kWh,6.708,TBA,TBA
2023-june,"June 1, 2023",GSA1,customer_charge,19.60,,
2023-june,"June 1, 2023",GSA1,Summer kWh,8.523,2.506,11.029
2023-june,"June 1, 2023",GSA1,Winter kWh,8.190,TBA,TBA
2023-june,"June 1, 2023",GSA1,Transition Month kWh,7.983,TBA,TBA
2023-june,"June 1, 2023",GSA2,customer_charge,60.00,,
2023-june,"June 1, 2023",GSA2,"demand Summer >50 – 1,000 kW",10.65,,
2023-june,"June 1, 2023",GSA2,"demand Winter >50 – 1,000 kW",9.67,,
2023-june,"June 1, 2023",GSA2,"demand Transition Month >50 – 1,000 kW",9.67,,
2023-june,"June 1, 2023",GSA2,"Summer First 15,000 kWh",7.781,2.506,10.287
2023-june,"June 1, 2023",GSA2,"Winter First 15,000 kWh",7.450,TBA,TBA
2023-june,"June 1, 2023",GSA2,"Transition Month First 15,000 kWh",7.242,TBA,TBA
2023-june,"June 1, 2023",GSA2,"Summer addl. kWh >15,000",4.722,2.484,7.206
2023-june,"June 1, 2023",GSA2,"Winter addl. kWh >15,000",4.397,TBA,TBA
2023-june,"June 1, 2023",GSA2,"Transition Month addl. kWh >15,000",4.260,TBA,TBA
2023-june,"June 1, 2023",GSA3,customer_charge,200.00,,
2023-june,"June 1, 2023",GSA3,"demand Summer 0 – 1,000 kW",10.70,,
2023-june,"June 1, 2023",GSA3,"demand Winter 0 – 1,000 kW",9.75,,
2023-june,"June 1, 2023",GSA3,"demand Transition Month 0 – 1,000 kW",9.75,,
2023-june,"June 1, 2023",GSA3,"demand Summer 1,000 – 5,000 kW",14.87,,
2023-june,"June 1, 2023",GSA3,"demand Winter 1,000 – 5,000 kW",13.89,,
2023-june,"June 1, 2023",GSA3,"demand Transition Month 1,000 – 5,000 kW",13.89,,
2023-june,"June 1, 2023",GSA3,Summer kWh,4.715,2.484,7.199
2023-june,"June 1, 2023",GSA3,Winter kWh,4.394,TBA,TBA
2023-june,"June 1, 2023",GSA3,Transition Month kWh,4.256,TBA,TBA
2023-june,"June 1, 2023",TD_GSA,Additional HUD,0.149,2.514,2.663
2023-june,"June 1, 2023",TD_GSA,Additional HUD,0.149,TBA,TBA
2023-june,"June 1, 2023",TD_GSA,Additional HUD,0.149,TBA,TBA
2023-june,"June 1, 2023",GSB,Additional HUD,0.223,2.378,2.601
2023-june,"June 1, 2023",GSB,Additional HUD,0.223,TBA,TBA
2023-june,"June 1, 2023",GSB,Additional HUD,0.223,TBA,TBA
2023-june,"June 1, 2023",MSB,Additional HUD,0.055,2.360,2.415
2023-june,"June 1, 2023",MSB,Additional HUD,0.055,TBA,TBA
2023-june,"June 1, 2023",MSB,Additional HUD,0.055,TBA,TBA
2023-june,"June 1, 2023",MSD,Additional HUD,0.223,2.360,2.583
2023-june,"June 1, 2023",MSD,Additional HUD,0.223,TBA,TBA
2023-june,"June 1, 2023",MSD,Additional HUD,0.223,TBA,TBA
2023-june,"June 1, 2023",OUTDOOR,Summer kWh,4.899,2.526,7.425
2023-june,"June 1, 2023",OUTDOOR,Winter kWh,4.567,TBA,TBA
2023-june,"June 1, 2023",OUTDOOR,Transition Month kWh,4.362,TBA,TBA
2024-june,"June 1, 2024",RESIDENTIAL,customer_charge,19.61,,
2024-june,"June 1, 2024",RESIDENTIAL,Summer kWh,7.707,2.013,9.720
2024-june,"June 1, 2024",RESIDENTIAL,Winter kWh,7.360,TBA,TBA
2024-june,"June 1, 2024",RESIDENTIAL,Transition Month kWh,7.145,TBA,TBA
2024-june,"June 1, 2024",GSA1,customer_charge,22.60,,
2024-june,"June 1, 2024",GSA1,Summer kWh,8.864,1.998,10.862
2024-june,"June 1, 2024",GSA1,Winter kWh,8.516,TBA,TBA
2024-june,"June 1, 2024",GSA1,Transition Month kWh,8.299,TBA,TBA
2024-june,"June 1, 2024",GSA2,customer_charge,63.00,,
2024-june,"June 1, 2024",GSA2,"demand Summer >50 – 1,000 kW",11.10,,
2024-june,"June 1, 2024",GSA2,"demand Winter >50 – 1,000 kW",10.08,,
2024-june,"June 1, 2024",GSA2,"demand Transition Month >50 – 1,000 kW",10.08,,
2024-june,"June 1, 2024",GSA2,"Summer First 15,000 kWh",8.231,1.998,10.229
2024-june,"June 1, 2024",GSA2,"Winter First 15,000 kWh",7.885,TBA,TBA
2024-june,"June 1, 2024",GSA2,"Transition Month First 15,000 kWh",7.667,TBA,TBA
2024-june,"June 1, 2024",GSA2,"Summer addl. kWh >15,000",5.046,1.980,7.026
2024-june,"June 1, 2024",GSA2,"Winter addl. kWh >15,000",4.706,TBA,TBA
2024-june,"June 1, 2024",GSA2,"Transition Month addl. kWh >15,000",4.563,TBA,TBA
2024-june,"June 1, 2024",GSA3,customer_charge,203.00,,
2024-june,"June 1, 2024",GSA3,"demand Summer 0 – 1,000 kW",11.17,,
2024-june,"June 1, 2024",GSA3,"demand Winter 0 – 1,000 kW",10.17,,
2024-june,"June 1, 2024",GSA3,"demand Transition Month 0 – 1,000 kW",10.17,,
2024-june,"June 1, 2024",GSA3,"demand Summer 1,000 – 5,000 kW",15.52,,
2024-june,"June 1, 2024",GSA3,"demand Winter 1,000 – 5,000 kW",14.50,,
2024-june,"June 1, 2024",GSA3,"demand Transition Month 1,000 – 5,000 kW",14.50,,
2024-june,"June 1, 2024",GSA3,Summer kWh,5.036,1.980,7.016
2024-june,"June 1, 2024",GSA3,Winter kWh,4.701,TBA,TBA
2024-june,"June 1, 2024",GSA3,Transition Month kWh,4.557,TBA,TBA
2024-june,"June 1, 2024",TD_GSA,Additional HUD,0.151,2.004,2.155
2024-june,"June 1, 2024",TD_GSA,Additional HUD,0.151,TBA,TBA
2024-june,"June 1, 2024",TD_GSA,Additional HUD,0.151,TBA,TBA
2024-june,"June 1, 2024",GSB,Additional HUD,0.228,1.868,2.096
2024-june,"June 1, 2024",GSB,Additional HUD,0.228,TBA,TBA
2024-june,"June 1, 2024",GSB,Additional HUD,0.228,TBA,TBA
2024-june,"June 1, 2024",MSB,Additional HUD,0.053,1.816,1.869
2024-june,"June 1, 2024",MSB,Additional HUD,0.053,TBA,TBA
2024-june,"June 1, 2024",MSB,Additional HUD,0.053,TBA,TBA
2024-june,"June 1, 2024",MSD,Additional HUD,0.228,1.816,2.044
2024-june,"June 1, 2024",MSD,Additional HUD,0.228,TBA,TBA
2024-june,"June 1, 2024",MSD,Additional HUD,0.228,TBA,TBA
2024-june,"June 1, 2024",OUTDOOR,Summer kWh,5.180,2.013,7.193
2024-june,"June 1, 2024",OUTDOOR,Winter kWh,4.833,TBA,TBA
2024-june,"June 1, 2024",OUTDOOR,Transition Month kWh,4.619,TBA,TBA
2025-june,"June 1, 2025",RESIDENTIAL,customer_charge,22.61,,
2025-june,"June 1, 2025",RESIDENTIAL,Summer kWh,8.202,2.784,10.986
2025-june,"June 1, 2025",RESIDENTIAL,Winter kWh,7.837,3.011,10.848
2025-june,"June 1, 2025",RESIDENTIAL,Transition Month kWh,7.611,2.649,10.260
2025-june,"June 1, 2025",GSA1,customer_charge,25.60,,
2025-june,"June 1, 2025",GSA1,Summer kWh,9.489,2.763,12.252
2025-june,"June 1, 2025",GSA1,Winter kWh,9.123,2.988,12.111
2025-june,"June 1, 2025",GSA1,Transition Month kWh,8.895,2.628,11.523
2025-june,"June 1, 2025",GSA2,customer_charge,75.00,,
2025-june,"June 1, 2025",GSA2,"demand Summer >50-1,000 kW",11.65,,
2025-june,"June 1, 2025",GSA2,"demand Winter >50-1,000 KW",10.58,,
2025-june,"June 1, 2025",GSA2,"demand Transition Month >50-1,000 kW",10.58,,
2025-june,"June 1, 2025",GSA2,"Sumer First 15,000 kWh",8.936,2.763,11.699
2025-june,"June 1, 2025",GSA2,"Winter First 15,000 kWh",8.572,2.988,11.560
2025-june,"June 1, 2025",GSA2,"Transition Month addl. kWh >15,000",8.342,2.628,10.970
2025-june,"June 1, 2025",GSA2,"Summer addl. kWh >15,000",5.597,2.738,8.335
2025-june,"June 1, 2025",GSA2,"Winter addl. KWH >15,000",5.239,2.961,8.200
2025-june,"June 1, 2025",GSA2,"Transition Month addl. kWh >15,000",5.089,2.605,7.694
2025-june,"June 1, 2025",GSA3,customer_charge,215.00,,
2025-june,"June 1, 2025",GSA3,"demand Summer 0-1,000 kW",11.74,,
2025-june,"June 1, 2025",GSA3,"demand Winter 0-1,000 KW",10.69,,
2025-june,"June 1, 2025",GSA3,"demand Transition Month 0-1,000 kW",10.69,,
2025-june,"June 1, 2025",GSA3,"demand Summer 1,000-5,000 kW",16.32,,
2025-june,"June 1, 2025",GSA3,"demand Winter 1,000-5,000 kW",15.24,,
2025-june,"June 1, 2025",GSA3,"demand Transition Month 1,000-5,000 kW",15.24,,
2025-june,"June 1, 2025",GSA3,Summer kWh,5.594,2.738,8.332
2025-june,"June 1, 2025",GSA3,Winter kWh,5.242,2.961,8.203
2025-june,"June 1, 2025",GSA3,Transition Month kWh,5.090,2.605,7.695
2025-june,"June 1, 2025",TD_GSA,customer_charge,"1,500.00",,
2025-june,"June 1, 2025",TD_GSA,Additional HUD,0.153,2.772,2.925
2025-june,"June 1, 2025",TD_GSA,Additional HUD,0.153,2.997,3.150
2025-june,"June 1, 2025",TD_GSA,Additional HUD,0.153,2.637,2.790
2025-june,"June 1, 2025",GSB,customer_charge,"1,500.00",,
2025-june,"June 1, 2025",GSB,Additional HUD,2.605,TBA,2.839
2025-june,"June 1, 2025",GSB,Additional HUD,0.234,2.616,2.850
2025-june,"June 1, 2025",GSB,Additional HUD,0.234,2.358,2.592
2025-june,"June 1, 2025",MSB,customer_charge,"1,500.00",,
2025-june,"June 1, 2025",MSB,Additional HUD,2.630,TBA,2.680
2025-june,"June 1, 2025",MSB,Additional HUD,0.050,2.599,2.649
2025-june,"June 1, 2025",MSB,Additional HUD,0.050,2.367,2.417
2025-june,"June 1, 2025",MSD,customer_charge,"1,500.00",,
2025-june,"June 1, 2025",MSD,Additional HUD,2.630,TBA,2.864
2025-june,"June 1, 2025",MSD,Additional HUD,0.234,2.599,2.833
2025-june,"June 1, 2025",MSD,Additional HUD,0.234,2.367,2.601
2025-june,"June 1, 2025",OUTDOOR,customer_charge,8.50,,
2025-june,"June 1, 2025",OUTDOOR,Transition Month kWh,4.953,2.649,7.602
2026-june,"June 1, 2026",RESIDENTIAL,customer_charge,25.61,,
2026-june,"June 1, 2026",RESIDENTIAL,Summer kWh,8.388,2.741,11.129
2026-june,"June 1, 2026",RESIDENTIAL,Winter kWh,8.023,4.010,12.033
2026-june,"June 1, 2026",RESIDENTIAL,Transition Month kWh,7.797,3.694,11.491
2026-june,"June 1, 2026",GSA1,customer_charge,28.60,,
2026-june,"June 1, 2026",GSA1,Summer kWh,9.764,2.720,12.484
2026-june,"June 1, 2026",GSA1,Winter kWh,9.398,3.979,13.377
2026-june,"June 1, 2026",GSA1,Transition Month kWh,9.170,3.665,12.835
2026-june,"June 1, 2026",GSA2,customer_charge,78.00,,
2026-june,"June 1, 2026",GSA2,"demand Summer >50-1,000 kW",11.65,,
2026-june,"June 1, 2026",GSA2,"demand Winter >50-1,000 KW",10.58,,
2026-june,"June 1, 2026",GSA2,"demand Transition Month >50-1,000 kW",10.58,,
2026-june,"June 1, 2026",GSA2,"Sumer First 15,000 kWh",9.343,2.720,12.063
2026-june,"June 1, 2026",GSA2,"Winter First 15,000 kWh",8.979,3.979,12.958
2026-june,"June 1, 2026",GSA2,"Transition Month addl. kWh >15,000",8.749,3.665,12.414
2026-june,"June 1, 2026",GSA2,"Summer addl. kWh >15,000",6.004,2.696,8.700
2026-june,"June 1, 2026",GSA2,"Winter addl. KWH >15,000",5.646,3.944,9.590
2026-june,"June 1, 2026",GSA2,"Transition Month addl. kWh >15,000",5.496,3.633,9.129
2026-june,"June 1, 2026",GSA3,customer_charge,218.00,,
2026-june,"June 1, 2026",GSA3,"demand Summer 0-1,000 kW",11.74,,
2026-june,"June 1, 2026",GSA3,"demand Winter 0-1,000 KW",10.69,,
2026-june,"June 1, 2026",GSA3,"demand Transition Month 0-1,000 kW",10.69,,
2026-june,"June 1, 2026",GSA3,"demand Summer 1,000-5,000 kW",16.32,,
2026-june,"June 1, 2026",GSA3,"demand Winter 1,000-5,000 kW",15.24,,
2026-june,"June 1, 2026",GSA3,"demand Transition Month 1,000-5,000 kW",15.24,,
2026-june,"June 1, 2026",GSA3,Summer kWh,5.987,2.696,8.683
2026-june,"June 1, 2026",GSA3,Winter kWh,5.635,3.944,9.579
2026-june,"June 1, 2026",GSA3,Transition Month kWh,5.483,3.633,9.116
2026-june,"June 1, 2026",TD_GSA,customer_charge,"1,500.00",,
2026-june,"June 1, 2026",TD_GSA,Additional HUD,0.153,2.728,2.881
2026-june,"June 1, 2026",TD_GSA,Additional HUD,0.153,3.992,4.145
2026-june,"June 1, 2026",TD_GSA,Additional HUD,0.153,3.677,3.830
2026-june,"June 1, 2026",GSB,customer_charge,"1,500.00",,
2026-june,"June 1, 2026",GSB,Additional HUD,0.234,2.457,2.691
2026-june,"June 1, 2026",GSB,Additional HUD,0.234,2.849,3.083
2026-june,"June 1, 2026",GSB,Additional HUD,0.234,2.712,2.946
2026-june,"June 1, 2026",MSB,customer_charge,"1,500.00",,
2026-june,"June 1, 2026",MSB,Additional HUD,0.050,2.472,2.522
2026-june,"June 1, 2026",MSB,Additional HUD,0.050,2.953,3.003
2026-june,"June 1, 2026",MSB,Additional HUD,0.050,2.734,2.784
2026-june,"June 1, 2026",MSD,customer_charge,"1,500.00",,
2026-june,"June 1, 2026",MSD,Additional HUD,0.234,2.472,2.706
2026-june,"June 1, 2026",MSD,Additional HUD,0.234,2.953,3.187
2026-june,"June 1, 2026",MSD,Additional HUD,0.234,2.734,2.968
2026-june,"June 1, 2026",OUTDOOR,customer_charge,11.50,,
2026-june,"June 1, 2026",OUTDOOR,Transition Month kWh,5.184,3.694,8.878
