text_file,source,kind,pages,chars,chars_per_page,raster_share,trust,producer
2025-foia-annual-report.txt,2025-foia-annual-report.pdf,DIGITAL,23,41720,1814,0.0,extraction authoritative,Adobe PDF Library 25.1.5
2026-chief-foia-officer-report.txt,2026-chief-foia-officer-report.pdf,DIGITAL,13,30301,2331,0.0,extraction authoritative,Adobe PDF Library 25.1.5
tva-chief-foia-officer-report-2025.txt,tva-chief-foia-officer-report-2025.pdf,DIGITAL,10,29485,2948,0.0,extraction authoritative,Adobe PDF Library 24.5.175
