text_file,source,kind,pages,chars,chars_per_page,raster_share,trust,producer
assante-quotes-in-tennesean.txt,assante-quotes-in-tennesean.pdf,OCR_SCAN,1,22559,22559,1.0,verify figures against page image,iTextSharp™ 5.5.10 ©2000-2016 iText Group NV (AGPL-version)
pilot-tldr-utk.txt,pilot-tldr-utk.pdf,DIGITAL,3,4696,1565,0.0,extraction authoritative,Prince 13.5 (www.princexml.com)
report-gallatin-idb-bates.txt,report-gallatin-idb-bates.pdf,DIGITAL,15,27191,1813,0.0,extraction authoritative,Microsoft® Word for Microsoft 365
report-gallatin-idb-isbell.txt,report-gallatin-idb-isbell.pdf,DIGITAL,19,34497,1816,0.0,extraction authoritative,Adobe PDF Library 26.1.183
report-gallatin-idb-leon.txt,report-gallatin-idb-leon.pdf,DIGITAL,13,25744,1980,0.0,extraction authoritative,Adobe PDF Library 24.3.212
stark-quotes-in-tennessean.txt,stark-quotes-in-tennessean.pdf,OCR_SCAN,1,68987,68987,1.0,verify figures against page image,iText 4.2.0 by 1T3XT
