text_file,source,kind,pages,chars,chars_per_page,raster_share,trust,producer
2026-03-grand-jury-presentment-state-v-smith.txt,2026-03-grand-jury-presentment-state-v-smith-ocr.pdf,OCR_SCAN,4,4071,1018,1.0,verify figures against page image,Adobe PSL 1.3e for Canon
2026-03-30-comptroller-investigative-report-city-of-gallatin.txt,2026-03-30-comptroller-investigative-report-city-of-gallatin.pdf,DIGITAL,5,8956,1791,0.4,extraction authoritative,Microsoft® Word for Microsoft 365
2017-04-grand-jury-presentment-state-v-morris.txt,2017-04-grand-jury-presentment-state-v-morris-ocr.pdf,OCR_SCAN,3,2939,980,1.0,verify figures against page image,Adobe PDF Scan Library 3.1
